게시날짜,제목,조회수,좋아요수,댓글수,연관키워드(소비한 물품명),영상내용요약
2026-01-19,20대와 30대의 소비취향 차이,1662,6,0,"라이브11, 라이브커머스, 라이브방송, 11번가, LIVE11, live11, Live11, 11st, 윤진희, 주서현, 라이브",#언니탐구영역 #20대 #30대 #취향
2026-01-17,"❌ 일론머스크 ""저축하면 가난해집니다"" 충격 발언! #20대재테크 #직장인투자 #경제공부 #금융상식 #재테크 #투자 #경제 #주식 #일론머스크 #부자되는법 #돈버는법 #AI",129877,1289,20,,세계 부자 1%는 왜 현금을 1%만 보유할까요? 💰 2020년부터 찍어낸 돈만 5조 달러…
2026-01-11,"다 버리고, 딱 이것만 챙기세요. 20대에 알면 인생이 바뀝니다. (재테크 · 자기계발 · 휴식)",126873,5350,320,"20대 재테크, 30대 재테크, 20대 후회하는것, 30대 후회하는것",요즘 20대라면 이거 꼭 새겨듣길..😉💓 우리 20대 뿅아리 칭구들 ! 오늘 영상 보고
2026-01-02,"'이것'만 하면 1억 쉽게 모음 | 2026년에 ""돈이 저절로 모이는"" 20대 꼭 알아야 할 재테크 습관 & 경제 관념 | 1억 & N억 모으기 | 1억 모은 후엔? | 새니",90818,2614,99,,[경제윗미&영어윗미] 1월 모집 내일 마감‼️ ⭐️2026년 갓생 루틴 추천⭐️
2025-12-30,"(1시간 모아보기) ""S&P500 이만큼 사두세요"" 20대부터 60대까지 꼭 알아야하는 재테크 투자법",135349,4185,280,,여러분!! 요 영상은 그동안 올렸던 영상을 합쳐둔 '모아보기 영상'이에용! ㅠㅠㅠㅠ (했던 얘기 또 하는 게 아닙니다 ㅠㅠㅠㅠ)
2025-11-28,한 달 화장품 60만원? 요즘 20대가 생활비 쓰는 법 | 소비 | 서울사람 구독금지 EP.5 | 정혁 | 장재열 | 서현역,397018,472,258,#서울사람 구독금지 # 경기도민 # 청년 #경기청년 #정혁 #장재열 # 경기도미래세대재단,가심비에서 럭셔리까지 요즘 MZ는 무엇에 지갑👛을 열고 있을까?
2025-11-27,"2025 한국 경제 위기, 내수 침체와 부동산 부채, 20대 소비 위축이 자영업에 미치는 영향",20,1,0,"#한국경재, #내수침체, #20대소비, #연애포기남, #부동산대출, #상가페업, #경제위기, #자영업불황, #소비트랜드변화, #대한민국미래",안녕하세요~~ 블로그 내용을 영상으로 만들어 보았습니다.
2025-11-10,20대1인가구 연어 플렉스 먹방,1122,14,8,,
2025-10-23,20대 대기업 소비일기 #대기업 #소비 #월급관리,1948,3,0,"20대직장인, 대기업직장인, 소비일기, 지출기록, 월급관리, 가계비, 가성비소비, 절약팁, 불필요한지출컷, 구독정리, 고정비점검, 변동비관리, 가계부작성, 소비습관개선, 현실브이로그, 회사원브이로그, 퇴그후일상, 재테크초보, 저축챌린지, 적급, ETF초보, 주식공부, 예산세팅, 월말결산, 월간결산, 무지출챌린지, 한달살이비용, 소소한사치, 점심값절약",
2025-10-22,X천만원 낭비한 20대 중반의 소비/투자 ㅣ대학생? 사회초년생? 소비부터 투자까지 총정리,5754,148,16,"낭비, 소비, 투자, 저축, 예금, 적금, 사회초년생, 대학생, 주식투자, 재테크, 미국주식, 국내주식, 20대저축, 20대소비, 20대주식, 20대투자, 대학생투자, 대학생저축, 용돈, 코인, 20대코인, 여행, 대학생여행, 20대여행",X천만원 낭비한 20대 중반의 소비/투자 이야기. 대학생이나 사회초년생이면 무조건 봐.
