카드이용내역,,,,,,,,,,,,,,
■ 카드이용내역 요약,,,,,,,,,,,,,,
조회기간,사용처구분,정상∙취소 구분,이용구분,건수합계,금액합계(원),,,,,,,,,
2024.12.03~2025.12.02,전체,전체,전체,933건,"16,617,923",,,,,,,,,
■ 국내이용내역 상세,,,,,,,,,,,,,,
이용일자,이용시간,이용카드,이용가맹점,업종,이용금액,이용구분,할부개월,승인번호,취소여부,취소일자,취소금액,포인트사용,온누리상품권사용금액,매입여부
2025.12.01,21:16,본인 우리은행 포인트플러스 GRANDE(9*3*),GS25 고척사랑점,편의점,"7,100",일시불,-,62870799,N,,0,,0,N
2025.12.01,21:14,본인 우리은행 포인트플러스 GRANDE(9*3*),파리바게트 고척시장점,제과점/아이스크림점,"4,490",일시불,-,60841798,N,,0,,0,N
2025.12.01,20:22,본인 우리은행 포인트플러스 GRANDE(9*3*),주식회사 써브웨이신도림,패스트푸드점,"7,600",일시불,-,51871797,N,,0,,0,N
2025.12.01,18:14,본인 우리은행 포인트플러스 GRANDE(9*3*),상아약국,약국,"3,900",일시불,-,29602796,N,,0,,0,N
2025.12.01,18:11,본인 우리은행 포인트플러스 GRANDE(9*3*),스마트백평치과의원,치과,"50,000",일시불,-,22125795,N,,0,,0,N
2025.11.30,18:08,본인 우리은행 포인트플러스 GRANDE(9*3*),멘야이찌방,일식(횟집),"11,900",일시불,-,47997794,N,,0,0,0,Y
2025.11.30,16:46,본인 우리은행 포인트플러스 GRANDE(9*3*),모키커피앤티하우스,커피전문점,"7,500",일시불,-,55741793,N,,0,0,0,Y
2025.11.29,20:40,본인 우리은행 포인트플러스 GRANDE(9*3*),싸다김밥 신도림역점,기타일반음식,"8,500",일시불,-,37684792,N,,0,0,0,Y
2025.11.28,23:18,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)우아한형제들_(주)우아한형제,PG(온라인),"31,300",일시불,-,45914791,N,,0,0,0,Y
2025.11.27,19:22,본인 우리은행 포인트플러스 GRANDE(9*3*),씨제이올리브네트웍스(주)개봉역북부점,화장품,"15,700",일시불,-,65126790,N,,0,0,0,Y
2025.11.27,18:31,본인 우리은행 포인트플러스 GRANDE(9*3*),마차이짬뽕,중식,"21,000",일시불,-,65662789,N,,0,0,0,Y
2025.11.27,13:31,본인 우리은행 포인트플러스 GRANDE(9*3*),스타벅스_충전_에스씨케이컴,상품권(온라인),"30,000",일시불,-,44238788,N,,0,0,0,Y
2025.11.26,12:49,본인 우리은행 포인트플러스 GRANDE(9*3*),GS25 고척사랑점,편의점,"7,900",일시불,-,64553787,N,,0,0,0,Y
2025.11.24,21:29,본인 우리은행 포인트플러스 GRANDE(9*3*),문화비_알라딘커뮤니케이션_알라딘커뮤니케이션_문화비,PG(온라인),"23,400",일시불,-,44036786,N,,0,0,0,Y
