card_id,card_name,company,annual_fee,performance,image_url,url
2885,삼성 iD SELECT ALL 카드,삼성카드,"국내전용20,000원해외겸용20,000원",40만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/2885/card_img/44212/2885card_1.png,https://www.card-gorilla.com/card/detail/2885
13,신한카드 Mr.Life,신한카드,"해외겸용15,000원",30만원 이상,https://api.card-gorilla.com:8080/storage/card/13/card_img/28201/13card.png,https://www.card-gorilla.com/card/detail/13
49,삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,"국내전용47,000원해외겸용49,000원",없음,https://d1c5n4ri2guedi.cloudfront.net/card/49/card_img/27705/49card.png,https://www.card-gorilla.com/card/detail/49
2441,KB국민 My WE:SH 카드,KB국민카드,"국내전용15,000원해외겸용15,000원",40만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png,https://www.card-gorilla.com/card/detail/2441
51,삼성카드 taptap O,삼성카드,"국내전용10,000원해외겸용10,000원",30만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/51/card_img/37691/51card.png,https://www.card-gorilla.com/card/detail/51
2687,카드의정석 SHOPPING+,우리카드,"국내전용10,000원해외겸용12,000원",30만원 이상,https://api.card-gorilla.com:8080/storage/card/2687/card_img/33239/2687card.png,https://www.card-gorilla.com/card/detail/2687
2663,American Express® Gold Card Edition2,현대카드,"해외겸용300,000원",50만원 이상,https://api.card-gorilla.com:8080/storage/card/2663/card_img/32407/2663card.png,https://www.card-gorilla.com/card/detail/2663
2719,카드의정석 EVERY DISCOUNT,우리카드,"국내전용12,000원해외겸용12,000원",없음,https://d1c5n4ri2guedi.cloudfront.net/card/2719/card_img/46400/2719card.png,https://www.card-gorilla.com/card/detail/2719
2669,현대카드 M,현대카드,"국내전용30,000원해외겸용30,000원",50만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/2669/card_img/39631/2669card_5.png,https://www.card-gorilla.com/card/detail/2669
2330,LOCA 365 카드,롯데카드,"국내전용20,000원해외겸용20,000원",50만원 이상,https://api.card-gorilla.com:8080/storage/card/2330/card_img/24131/2330card.png,https://www.card-gorilla.com/card/detail/2330
2609,쿠팡 와우 카드,KB국민카드,"국내전용20,000원해외겸용20,000원",없음,https://api.card-gorilla.com:8080/storage/card/2609/card_img/31241/2609card.png,https://www.card-gorilla.com/card/detail/2609
2886,삼성 iD SELECT ON 카드,삼성카드,"국내전용20,000원해외겸용20,000원",30만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/2886/card_img/44215/2886card_1.png,https://www.card-gorilla.com/card/detail/2886
2376,삼성 iD SIMPLE 카드,삼성카드,"국내전용7,000원해외겸용7,000원",없음,https://api.card-gorilla.com:8080/storage/card/2376/card_img/27725/2376card.png,https://www.card-gorilla.com/card/detail/2376
2835,신한카드 Discount Plan+,신한카드,"국내전용50,000원해외겸용50,000원",40만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/2835/card_img/41600/2835card.png,https://www.card-gorilla.com/card/detail/2835
106,굿데이카드,KB국민카드,"국내전용5,000원해외겸용10,000원",30만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/106/card_img/20264/106card.png,https://www.card-gorilla.com/card/detail/106
2759,신한카드 처음(ANNIVERSE),신한카드,"국내전용15,000원해외겸용18,000원",30만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/2759/card_img/37240/2759card.png,https://www.card-gorilla.com/card/detail/2759
769,가온올림카드(실속형),KB국민카드,"국내전용15,000원해외겸용15,000원 |20,000원",없음,https://api6.card-gorilla.com:8080/storage/card/769/card_img/22243/769card.png,https://www.card-gorilla.com/card/detail/769
2261,LOCA LIKIT 1.2,롯데카드,"국내전용10,000원해외겸용10,000원",없음,https://d1c5n4ri2guedi.cloudfront.net/card/2261/card_img/21011/2261card.png,https://www.card-gorilla.com/card/detail/2261
657,taptap DIGITAL,삼성카드,"국내전용10,000원해외겸용10,000원",30만원 이상,https://api.card-gorilla.com:8080/storage/card/657/card_img/27715/657card.png,https://www.card-gorilla.com/card/detail/657
2915,THE iD. 1st,삼성카드,"국내전용150,000원해외겸용150,000원",50만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/2915/card_img/45262/2915card_1.png,https://www.card-gorilla.com/card/detail/2915
1909,THE 1 (스카이패스),삼성카드,"국내전용245,000원해외겸용250,000원",30만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/1909/card_img/28087/1909card.png,https://www.card-gorilla.com/card/detail/1909
2553,카드의정석 EVERY MILE SKYPASS,우리카드,"국내전용39,000원해외겸용39,000원",없음,https://d1c5n4ri2guedi.cloudfront.net/card/2553/card_img/36834/2553card.png,https://www.card-gorilla.com/card/detail/2553
39,신한카드 Deep Oil,신한카드,"해외겸용10,000원",30만원 이상,https://api.card-gorilla.com:8080/storage/card/39/card_img/31864/39card.png,https://www.card-gorilla.com/card/detail/39
2676,삼성 iD GLOBAL 카드,삼성카드,"국내전용20,000원해외겸용20,000원",50만원 이상,https://api.card-gorilla.com:8080/storage/card/2676/card_img/32887/2676card_2.png,https://www.card-gorilla.com/card/detail/2676
2657,JADE Classic,하나카드,"국내전용115,000원해외겸용120,000원",50만원 이상,https://d1c5n4ri2guedi.cloudfront.net/card/2657/card_img/32434/2657card.png,https://www.card-gorilla.com/card/detail/2657
