2026-01-27 15:28:15,651 | INFO | gen20 | 프로젝트 루트: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation
2026-01-27 15:28:15,651 | INFO | gen20 | 워크스페이스 루트: /Users/t2024-m0246/Documents/GitHub/project_sojeong
2026-01-27 15:28:15,655 | INFO | gen20 | cards_info.csv shape=30 x 7
2026-01-27 15:28:15,660 | INFO | gen20 | cards_benefits_fixed.csv shape=253 x 10
2026-01-27 15:28:15,663 | INFO | gen20 | youtube_20_consumption.csv.csv shape=104 x 7
2026-01-27 15:28:15,666 | INFO | gen20 | youtube_comments_700.csv shape=700 x 6
2026-01-27 15:28:15,668 | INFO | gen20 | youtube_dining_search_100.csv shape=100 x 8
2026-01-27 15:28:15,669 | INFO | gen20 | naverlab_dining_trend_comparison.csv shape=12 x 6
2026-01-27 15:28:15,698 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/cards_merged.csv
2026-01-27 15:28:15,703 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/spending_pattern_20s.csv
2026-01-27 15:28:15,708 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:28:15,718 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_tfidf_keywords.csv
2026-01-27 15:28:15,723 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_monthly_trend.csv
2026-01-27 15:28:15,731 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:28:15,732 | INFO | gen20 | sentiment_score mean=0.0162, std=0.1185
2026-01-27 15:28:15,733 | INFO | gen20 | 피어슨 상관계수: r=0.8787, p-value=0.0002
2026-01-27 15:28:15,735 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/trend_correlations.csv
2026-01-27 15:28:15,746 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/dining_benefit_scores.csv
2026-01-27 15:28:15,751 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/weighted_match_scores.csv
2026-01-27 15:29:04,045 | INFO | gen20 | 프로젝트 루트: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation
