publish_month,video_count,view_count_mean,like_count_mean,comment_count_mean
2018-03-01,1,127.0,1.0,0.0
2018-12-01,1,1123.0,7.0,0.0
2019-08-01,1,312.0,3.0,0.0
2019-12-01,1,51065.0,325.0,39.0
2020-02-01,1,428160.0,6573.0,395.0
2020-03-01,1,8095.0,423.0,538.0
2020-04-01,2,60558.5,1239.5,62.0
2020-08-01,1,72013.0,2126.0,210.0
2020-09-01,5,37466.2,167.4,47.6
2020-10-01,1,366164.0,1912.0,145.0
2020-11-01,1,934.0,27.0,18.0
2021-01-01,1,80669.0,1143.0,111.0
2021-02-01,2,162810.5,5034.0,261.5
2021-05-01,2,7282.5,14.0,2.5
2021-08-01,1,18306.0,140.0,14.0
2021-11-01,1,78192.0,333.0,17.0
2021-12-01,5,38003.0,100.0,23.2
2022-04-01,1,79661.0,569.0,106.0
2022-06-01,3,715190.6666666666,9749.666666666666,1514.3333333333333
2022-07-01,1,7100.0,20.0,15.0
2022-08-01,1,4004.0,21.0,0.0
2022-09-01,1,1840.0,12.0,0.0
2022-11-01,2,41044.0,233.0,14.0
2022-12-01,1,1868380.0,6940.0,771.0
2023-02-01,1,72740.0,1398.0,143.0
2023-03-01,2,396955.0,6679.5,278.5
2023-04-01,3,703.6666666666666,3.3333333333333335,0.3333333333333333
2023-05-01,1,244695.0,5294.0,63.0
2023-07-01,2,2888.0,34.5,11.0
2023-08-01,3,11407.666666666666,178.0,44.333333333333336
2023-09-01,5,7363.2,77.8,15.2
2023-10-01,3,202357.0,2663.0,63.666666666666664
2023-11-01,1,3845.0,19.0,12.0
2023-12-01,3,8222.0,15.666666666666666,5.666666666666667
2024-01-01,1,28788.0,1850.0,25.0
2024-02-01,1,36336.0,251.0,12.0
2024-03-01,2,66812.5,1045.0,156.5
2024-04-01,1,345323.0,10551.0,44.0
2024-05-01,1,4433.0,68.0,5.0
2024-11-01,2,25520.0,1250.5,52.0
2025-02-01,3,80258.66666666667,1005.0,26.666666666666668
2025-04-01,4,7558.25,21.25,0.75
2025-05-01,1,238433.0,5300.0,272.0
2025-06-01,3,2117.6666666666665,5.666666666666667,2.6666666666666665
2025-07-01,5,161133.8,1968.6,195.2
2025-08-01,2,31388.5,408.0,12.0
2025-09-01,5,29376.8,1147.6,57.4
2025-10-01,3,256705.0,12501.0,203.66666666666666
2025-11-01,3,132720.0,162.33333333333334,88.66666666666667
2025-12-01,1,135349.0,4185.0,280.0
2026-01-01,4,87307.5,2314.75,109.75
